Composer,FirstName,LastName,MiddleName,Dates,DOB,DOD,Nationality,Nameofpiece,Duration (mins),Year,Instrumentation,Recording,Publisher,Score,Composer_website
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Clarinet Quintet,13,1980,Clarinet Quintet (Clarinet and String Quartet),,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-tangled-rope/5896,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Fantasia,5,1983,Clarinet and Piano,,,https://www.australianmusiccentre.com.au/workversion/hyde-miriam-trio-for-flute-clarinet-and-piano/3875,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Reflections,17,1968,"Oboe, Clarinet, Viola, Harp",,,https://www.presser.com/511-01816-apprehensions.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Wind Quintet,16,1945,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,https://www.presser.com/114-41716-birkat+haderekh+%e2%80%93+blessing+for+the+road.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,L'horloge,13,1985,"Soprano, Clarinet, Piano",,,https://www.presser.com/114-41891-birkat+haderekh+%e2%80%93+blessing+for+the+road+ii.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Conversations,2,1965,Clarinet and Viola,,,https://www.presser.com/111-40278-adonai+malach.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Concertino No. 1,20,2018,Clarinet and String Orchestra,,,https://www.presser.com/554-00721-concerto-da-camera-i.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Concertino No. 2,9,1983,Clarinet and Chamber Orchestra,,,https://www.presser.com/114-40558-concerto+da+camera+ii.html,
Elizabeth Maconchy,Elizabeth,Maconchy,,1907-1994,1907,1994,Irish English,Variazioni Concertanti,12,1988,"Oboe, Clarinet, Bassoon, Horn, String Orchestra",,,https://www.presser.com/116-41666-double-vision.html,
Ellen Zwilich Taaffe,Ellen,Zwilich,Taaffe,0,0,0,American,NNENNA,5,2005,"clarinet, bassoon, horn, violin, viola, cello, double bass",,,https://www.presser.com/414-41170-mirage.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Still Lives,1.5,2018,"flute, clarinet vibrapone, cello",,,https://www.vcolemanmusic.com/store/p71/Freedmen_of_the_Five_Civilized_Tribes_%28Print_Order_Only%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Mythologies,12,1991,"clarinet, sax, violin, cello, piano, percussion",,,https://www.vcolemanmusic.com/store/p37/Rubispheres_%231-3_Trio_for_Flute%2C_Clarinet_and_Bassoon_%28digital_pdf_download%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Skip,13,1992,clarinet and piano,,,https://www.vcolemanmusic.com/store/p33/Portraits_of_Langston_for_Flute%2C_Clarinet_in_Bflat_and_Piano_%28Digital_Download%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),gun gun gun,3,1991,"soprano, bass clarinet, harp, double bass",,,https://www.vcolemanmusic.com/store/p74/Afro-Cuban_Concerto_%28Print_Order_Only%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),I Hate Waiting,10,1994,"Voice, clarinet, sax, trumpet, piano, electric bass/double bass, percussion, tape",,,https://www.vcolemanmusic.com/store/p1/Red_Clay_%26_Mississippi_Delta_for_Wind_Quintet_%28Digital_Download%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Mondrian,18,2005,"flute, oboe, clarinet, bass clarinet/sax, bassoon, horn, trumpet, piano, 2 violins, viola, cello, double bass",,,https://www.vcolemanmusic.com/store/p10/Tzigane_for_Wind_Quintet_%28Digital_Download%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Having Gathered His Cohorts,15,1957,"Baritone, 2 clarinets",,,https://www.vcolemanmusic.com/store/p53/Umoja_for_Wind_Quintet_%28PRINT_Order_Only%29.html,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Gastarbeiter,9,1918,"Mezzo soprano, clarinet, viola, double bass, percussion",,,,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Fairy Scary,3,1979,"voice, clarinet/bass clarinet, cello, piano",,,,
Errollyn Wallen,Errollyn,Wallen,,b. 1958,1958,0,British (English),Clarinet Sonata,3,1972,Solo Clarinet,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Arabesque,8,1983,Clarinet and Piano,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Image,9,1981,"Clarinet, Flute, 2 Violins, Viola, Cello, Celeste, Piano",,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Trois Dances (from La Nouvelle Cythère),7,1988,Clarinet and Piano,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Minuet,4,1974,Clarinet and Piano,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Sicilienne,8,1976,Clarinet and Piano,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Choral et Deux Variations,20.5,1977,"Wind Quintet (Flute, Oboe, Clarinet, Bassoon, Horn)",,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Sarabande,15,1980,Clarinet Duet or Clarinet and Oboe,,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Sonata Champêtre ,17,1982,"Clarinet, Bassoon, Piano",,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Serenade in A minor,8,1995,"2 Oboes, Clarinet, Bassoon, Piano",,,,
Germaine Tailleferre,Germaine,Tailleferre,,1892-1983,1892,1983,French,Images de Norvege,15,1997,Clarinet and Piano,,,,
Helena Tulve,Helena,Tulve,,b.1972,1972,0,Estonian,Clarinet Sonata,16 / 22,2006,Solo Clarinet,,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Clarinet Concerto,8,2007,Clarinet and Orchestra (or Wind Band),,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Clarinet Quartet,15,1984,3 Bb Clarinets (3rd clarinet doubling optional basset horn) and Bass Clarinet,,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Concerto Lyrique,5,1986,Clarinet and Orchestra (or Wind Band),,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Chanson,9,1988,Clarinet and Piano,,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Variations de Printemps,2.5,2016,Clarinet and Piano,,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Trio,10,2013,"Clarinet, Violin, Piano",,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Éolienne,6,1994,Clarinet and Piano (or Harp),,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Fantasy (...those harbor lights),,1989,Clarinet and Piano,,,,
Ida Gotkovsky,Ida,Gotkovsky,,b. 1933,1933,0,French,Wings,,1987,Solo Clarinet,,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Clarinet Concerto,,1994,Clarinet and Orchestra,,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Breakfast Rhythms I and II,,2002,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Black Topaz,,2002,"Flute, Clarinet/Bass Clarinet, Trumpet, Trombone, Piano, Percussion",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Amazon I,,1992,"Flute, Clarinet, Violin, Cello, Piano",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Petroushskates,,2012,"Flute, Clarinet, Violin, Cello, Piano",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Noon Dance,,2012,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Turning Points,,1949,Clarinet Quintet (Clarinet and String Quartet),,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Rain Waves,,1960,"Clarinet, Violin, Piano",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,A Little Gift,,1892,Flute and Clarinet,,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,A Gift,,2016,"Flute, Clarinet, Bassoon, Horn, Piano",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Sketches from a Bagpiper's Album,,2012,"Clarinet and Piano (or Soprano Saxophone, Eb Clarinet, Basset Horn and Piano)",,,,
Joan Tower,Joan,Tower,,b.1938,1938,0,American,Airs from Another Planet,,2012,"Wind sextet (flute/piccolo, oboe, clarinet, bassoon, horn, piano)",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Mountain Airs ,,1949,"Wind trio (flute, oboe, clarinet)",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),A Few Words of Thanks,,1950,"flute, oboe, clarinet, viola, cello",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Blue-Green Hill,,1993,"flute, clarinet, violin, cello, piano",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Musicians Wrestle Everywhere,,1948,"flute, oboe, clarinet, bass clarinet, horn, trombone, percussion, piano, cello, double bass",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),The Romance of Count Arnaldos,,1940,"soprano, 2 clarinets, viola, cello, double bass",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Sederunt Principles,,1939,"flute, oboe, 2 clarinets, bassoon, french horn, trombone, harp, 3 violins, 2 violas, percussion, piano, xylophone, harp",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),The Striker,,1940,"3 clarinets(inc bass clarinet/saxophones), keyboard",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Tiger Under the Table,,1940,"fute/piccolo, oboe, clarinet, bassoon, horn, trumpet, trombone, percussion, piano, 2 violins, viola, cello, double bass",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Really?,,1941,"soprano, clarinet, viola, harp",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),The Alps,,1942,"soprano, clarinet, viola ",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),What's in the Lake?,,1955,"Eb clarinet, contrabassoon, horn, 2 percussion, violin, viola, 2 cellos",,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Duft,,1958,Solo clarinet,,,,
Judith Weir,Judith,Weir,,b.1954,1954,0,British (Scottish/English),Barn Dances,,1958,"Flute, Clarinet, Piano",,,,
Kaija Saariaho,Kaija,Saariaho,,b. 1952,1952,0,Finnish,Bee Navigation,,1983,Solo Clarinet,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,"Black Birds, Red Hills",,1991,"Clarinet, Viola, Piano",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Blue Windows,,1981,"Wind Quintet and Piano (flute, oboe, clarinet, bassoon, french horn, piano)",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Blues in Six,,1979,Clarinet and Piano,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,BURN,,1978,"Clarinet/Bass Clarinet and String Quartet (violins, viola, cello)",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Corker,,2000,Clarinet and Percussion,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Dancing Solo,,2008,Solo Clarinet,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Downwind of Roses in Maine,,1979,"Flute, Clarinet, Mallet Percussion",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Ferlinghetti,,2015,"Clarinet, Viola, Piano",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Rodeo Queen of Heaven,,2016,"Clarinet, Violin, Cello, Piano",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Slang,,1985,"Clarinet, Violin, Piano",,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Song without words,,1987,Clarinet and Piano,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,A Tarantella for Our Times,,2015,Clarinet and Violin,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Yellow Jersey,,2007,Clarinet Duet (two clarinets),,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Sonata,,2008,Clarinet and Piano,,,,
Libby Larsen,Libby,Larsen,,b. 1950,1950,0,American,Little Suite for Woodwind Trio,,2015,"Flute, Clarinet and Bassoon",,,,
Margaret Sutherland,Margaret,Sutherland,,1897-1984,1897,1984,Australian,Quartet,,2007,"Clarinet, Horn, Viola, Piano",,,,
Margaret Sutherland,Margaret,Sutherland,,1897-1984,1897,1984,Australian,Two Dialogues,,2005,Clarinet and Violin,,,,
Margaret Sutherland,Margaret,Sutherland,,1897-1984,1897,1984,Australian,Romanze,,2001,Clarinet and Piano,,,,
Margaret Sutherland,Margaret,Sutherland,,1897-1984,1897,1984,Australian,The Three Alcids,,2009,Clarinet and Piano,,,,
Marie Elisabeth von Sachsen-Meiningen,Marie,Elisabeth von Sachsen-Meiningen,,1853-1923,1853,1923,German,The King in Yellow,,2011,"Flute/piccolo, Clarinet/Bass clarinet, violin, cello, percussion and piano",,,,
