Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Beamish, Sally",b.1956,British (English),Into the Furnace,1993,12,"Clarinet, Bassoon, Horn, String Quartet, Double Bass",,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Mr and Mrs Discobbolos,1983,10,"Clarinet, Violin, Viola, Cello, Piano, Speaker",,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),The Naming of Birds,2000,15,Wind Quintet,,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Madrigali,1994,14,"Flute/Piccolo, Oboe, Clarinet/Bass Clarinet, Horn, Harp, Double Bass, Tenor",,Edition Peters,,,,
"Beamish, Sally",b.1956,British (English),Tuscan Lullaby,1989,4,"2 Clarinets, Viola, Cello, Double Bass, Soprano",,Edition Peters,,,,
"Beglarian, Eve",b.1958,American Armenian,Machaut in the Age of Motown,2005,5,"Soprano Saxophone, Clarinet, Violin, Double Bass, Bells, Vibraphone, Piano, Drums",,,https://evbvd.com/blog/pub/machautmotown/,,,
"Berg, Stephanie",b.1986,American,Three Prayers,2016,,"Soprano, Clarinet, Piano",,,,,,
"Betinis, Abbie",b.1980,American,,,,,,,,,,
"Blass, Noa",1937-2008,Israeli,Had Gadya,2001,8,"Clainet, Bassoon, Trombone, Piano, Timpani, Narrator",http://www.israelcomposers.org/CompositionDetails.aspx?lang=English&id=1762&search=true,,,,,
"Bloomer Deussen, Nancy",1931-2019,American,Woodwind Quintet,1965,8,"Flute, Oboe, Clarinet, Bassoon, Horn",https://soundcloud.com/anarya/sets/woodwind-quintet-no-1-by-nancy,Frank E Warren Music Service,http://few-music.com/2009Cat_FewMusic.pdf,http://www.nancybloomerdeussen.net/,,
"Bloomer Deussen, Nancy",1931-2019,American,Concerto for Clarinet and Small Orchestra,1995,25,"Clarinet, Strings, Harp, Percussion",,,,http://www.nancybloomerdeussen.net/,,
"Bloomer Deussen, Nancy",1931-2019,American,One of Nature's Majesties,1994,8,"Clarinet, Bassoon, Piano",,,,,,
"Bloomer Deussen, Nancy",1931-2019,American,Woodwind Quintet #2,1996,13,,,,,,,
"Bloomer Deussen, Nancy",1931-2019,American,Suite for Clarinet and Piano,1959,8,,,,,,,
"Bond, Victoria",b.1945,American,Frescoes and Ash,2009,20,"Clarinet, Piano, Percussion, 2 Violins, Viola, Cello, Double Bass",https://www.victoriabond.com/artist.php?view=prog&rid=1944,Subito Music Corporation,,,,
"Bond, Victoria",b.1945,American,Bridges,2006,14,"Clarinet, Violin, Piano",https://www.victoriabond.com/artist.php?view=prog&rid=1941,Subito Music Corporation,,,,
"Bond, Victoria",b.1945,American,Instruments of Revelation,,,,,,,,,
"Bonis, Mel",1858-1937,French,Suite dans le style ancien',,12,"Flute, Violin, Clarinet and Piano OR 2 Flutes, Oboe, Clarinet, Horn, 2 Bassoons",,,,,,
"Boyd, Anne",b.1946,Australian,The Metamorphoses of the Solitary Female Phoenix,1971,14,"Flute (doubling piccolo and alto flute), Oboe (doubling cor anglais) or 2nd Flute (doubling alto flute), Clarinet (doubling bass clarinet), Percussion, Piano, French Horn",,Faber Music,https://www.fabermusic.com/repertoire/metamorphoses-of-the-solitary-female-phoenix-1105,,,
"Boyd, Anne",b.1946,Australian,St Elmo's Fire,2006,5,"Flute, Oboe, Clarinet",,UYMP,https://www.uymp.co.uk/composers/anne-boyd/works/anne-boyd-st-elmos-fire-651,,,
"Boyd, Anne",b.1946,Australian,Gate of Water,2006,11,"Alto Flute/Piccolo, Bass Clarinet, Violin, Cello, Piano",https://www.australianmusiccentre.com.au/product/gate-of-water-danzas-amorosas,UYMP,https://www.uymp.co.uk/index.php/composers/anne-boyd/works/anne-boyd-gate-of-water-650,,,
"Boyd, Anne",b.1946,Australian,Wind Across Bamboo,1984,14,"Flute, Oboe, Clarinet, Bassoon, Horn",,Australian Music Centre,https://www.australianmusiccentre.com.au/workversion/boyd-anne-wind-across-bamboo/3003,,,
"Brandon, Jenni",b.1977,American,The Sequoia Trio,2008,13,"Oboe, Clarinet, Bassoon",https://open.spotify.com/album/1YMJ1Dc0IV54ZPiuvGiVcv?si=rzXzgCFeTvC4I4MovYTB5Q,Jenni Brandon Music,https://www.juneemersonwindmusic.com/THE-SEQUOIA-TRIO-score-and-parts.html,https://jennibrandon.com/,,
"Brandon, Jenni",b.1977,American,Spider Suite,2009,13,"Oboe, Clarinet, Bassoon",,,,,,
"Brandon, Jenni",b.1977,American,,,,,,,,,,
"Brandon, Jenni",b.1977,American,,,,,,,,,,
"Brandon, Jenni",b.1977,American,,,,,,,,,,
"Brandon, Jenni",b.1977,American,,,,,,,,,,
"Brandon, Jenni",b.1977,American,,,,,,,,,,
"Bray, Charlotte",b.1982,British (English),Chant,2017,5,"Clarinet, Violin, Piano",,Birdsong,https://www.fabermusic.com/shop/chant-d44085,http://charlottebray.co.uk/,,
"Bray, Charlotte",b.1982,British (English),Blaze and Fall,2017,10,"Clarinet, Viola, Piano",,Birdsong,https://www.fabermusic.com/shop/blaze-and-fall-d43588,http://charlottebray.co.uk/,,
"Bray, Charlotte",b.1982,British (English),Midnight Interludes,2010,4,Clarinet and Cello,,Birdsong,https://www.fabermusic.com/shop/midnight-interludes-d43892,http://charlottebray.co.uk/,,
"Bray, Charlotte",b.1982,British (English),Upflight of Butterflies,2008,10,"Flute, Clarinet, Violin, Cello, Piano",,Birdsong,,http://charlottebray.co.uk/,,
"Bray, Charlotte",b.1982,British (English),Renga Miniatures,2007,9,"Flute, Clarinet, Horn, Violin, Cello, Piano",,Birdsong,,http://charlottebray.co.uk/,,
"Bremer, Carolyn",1957-2018,American,Sonata,1995,16,Clarinet and Piano,,Arsis Press,,,,
"Brockman, Jane",b.1949,American,Circles in the Sun,,,Clarinet and Electronics,,,,,,
"Brouwer, Margaret",b.1940,American,Concerto,,,Clarinet and Orchestra,,,,,,
"Burke, Brigid",b.1960,Australian,In the whirling came remoteness and intimacy,1997,,Clarinet and pitch shifter,https://www.australianmusiccentre.com.au/workversion/burke-brigid-in-the-whirling-came-remoteness-and-intimacy/11799,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-in-the-whirling-came-remoteness-and-intimacy/11799,,"Brigid is an Australian composer, performance artist, clarinet soloist, visual artist, video artist and educator whose creative practice explores the use of acoustic sound and technology to enable media performances and installations that are rich in aural and visual nuances. Her work is widely presented in concerts, festivals, and radio broadcasts throughout Australia, Asia, Brazil, Europe and the USA.

Her art practice is traditional acoustic sound, inventive, cutting edge, acousmatic (fixed sound within acoustic spaces) and exists on the cusp between acoustic and electronic sound with mixed media art works, traditional print making, mosaics, paintings on canvas and wood and video art within the field of electronic music and imaging. Her work is beyond the framework of traditional music and video art and is considered as electronic painting, or a high art concert. Also her involvement New Music has led her to integrate sound, visuals (DVD) and theatre.Recently she has been a recipient of an Australia Council Project Music Fellowship & new work commissions ‘Burning Antrils’, ‘Coral Bells’ & “Instincts and Episodes’ also Artist in Resident at Marshall University USA with a Edwards Distinguished Professor Artist Residency, Indiana University USA also ADM NTU Singapore. Also most recently she has presented her works at Federation Square Melbourne, Tilde Festival, ABC Classic FM. ICMC International Computer Music Conference Australia, Echofluxx 14-18 Festivals Prague, GA Generative Arts Festivals Italy, Asian Music Festivals in Tokyo, The Melbourne International Arts Festival, Futura Music Festival Paris France, Mona Foma Festival Hobart, The International Clarinet Festivals in Japan and Canada also Seoul and Australian International Computer Music Festivals. She has a PhD in Composition from UTAS and a Master of Music in Composition from The University of Melbourne.",www.brigid.com.au
"Burke, Brigid",b.1960,Australian,Three sounds on buildings,1992,,Solo Clarinet,https://open.spotify.com/track/3xVshJhwboATAXIP7z7FGx?si=MNSbu9P5T2SWBeiCWHpvng ,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-three-sounds-on-buildings/11747 ,,,
"Burke, Brigid",b.1960,Australian,Frenzied state,2000,,Solo Clarinet,,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-frenzied-state/11749 ,,,
"Burke, Brigid",b.1960,Australian,Whisper and speak,2004,,Clarinet and Piano,,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-whisper-and-speak/16050 ,,,
"Burke, Brigid",b.1960,Australian,A Breathing Stone,1998,,Clarinet and Piano,,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-breathing-stone/11745 ,,,
"Burke, Brigid",b.1960,Australian,Circle Hats,1994,,Clarinet and Bass Clarinet,https://www.australianmusiccentre.com.au/workversion/burke-brigid-circle-hats/11768 ,,https://www.australianmusiccentre.com.au/workversion/burke-brigid-circle-hats/11768 ,,,
"Burrell, Diana",b.1948,British (English),Wind Quintet,1990,15,"Flute, Oboe, Clarinet, Bassoon, Horn",https://ump.co.uk/catalogue/diana-burrell-wind-quintet/,United Music Publishing,https://ump.co.uk/catalogue/diana-burrell-wind-quintet/,,,
"Byström, Britta",b.1977,Swedish,Hardship/Strapats,2002,11,"Clarinet, Trumpet, Violin, Viola, Piano, Percussion",,Wilhelm Hansen Edition,https://www.musicshopeurope.com/product/wh31196a/hardship-strapats.aspx,,,
"Byström, Britta",b.1977,Swedish,Encounter in Space,2014,15,"Clarinet, Trumpet, Piano",,Wilhelm Hansen Edition,https://www.musicroom.com/product/wh32137/britta-bystr%C3%B6m-encounter-in-space-chamber-ensemble.aspx,,,
"Carwithen, Doreen",1922-2003,British (English),Five Diversions,1951,,Wind Quintet,,Rosewood Publications,https://www.trevcomusic.com/products/rp-32-carwithen-doreen-five-diversions-ww5,,,
"Chandler, Mary",1911-1996,British (English),Masquerade,1993,11,"Flute, Oboe, Clarinet, Bassoon, Horn",,Phylloscopus Publications,https://chimesmusic.com/sheet-music/ensemble-chamber-music/wind-quintets/masquerade/,,,
"Chandler, Mary",1911-1996,British (English),Divertimento,1967,10,"Oboe, Clarinet, Bassoon",,Phylloscopus Publications,https://www.trevcomusic.com/products/pp-68-chandler-mary-divertimento-sc-pts-ob-cl-bsn,,,
"Chen, Carolyn",b.1983,American,Oceans in Oceans,2014,12,"Flute, Clarinet, Bassoon, French Horn, Trombone, Percussion, Piano, Violin, Viola, Cello, Double Bass",https://soundcloud.com/carolyn-chen/oceans-in-oceans,,https://walkingmango.wordpress.com/2015/02/08/portfolio/,,,
"Chin, Unsuk",b.1961,Korean,Concerto,,,Clarinet and Orchestra,,,,,,
"Clarke, Rebecca",1886-1979,British American,"Prelude, Allegro and Pastorale",1941,13,Clarinet and Viola,https://www.youtube.com/watch?v=1NwFHr4VHS0,,,,,
"Cleare, Ann",b.1983,Irish,eyam i (it takes an ocean not to),2009,15,Solo Clarinet,https://annclearecomposer.com/eyam-i-it-takes-an-ocean-not-to/ ,,https://annclearecomposer.com/eyam-i-it-takes-an-ocean-not-to/ ,annclearecomposer.com,"Ann Cleare is an Irish composer working in the areas of concert music, opera, extended sonic environments, and hybrid instrumental design. Her work explores the static and sculptural nature of sound, probing the extremities of timbre, texture, colour, and form. She creates highly psychological and corporeal sonic spaces that encourage a listener to contemplate the complexity of the lives we exist within, exploring poetries of communication, transformation, and perception.  ",https://annclearecomposer.com/about-2/
"Cleare, Ann",b.1983,Irish,eyam ii (taking apart your universe),2009,26,"solo contrabass clarinet and an ensemble of five chamber groups: [soprano saxophone], [trumpet, percussion], [violin, bass flute, cello], [electric guitar], [bassoon, double bass, piano]",https://annclearecomposer.com/eyam-ii-taking-apart-your-universe/ ,,,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,eyam v (woven),2015,15,"Contrabass Flute, Contrabass Clarinet and Orchestra",https://annclearecomposer.com/eyam-v-woven/ ,,https://annclearecomposer.com/eyam-v-woven/ ,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,to another of that other,2009,14,"Bass Clarinet, Trumpet, Trombone and/or large ensemble or orchestra",https://annclearecomposer.com/to-another-of-that-other/ ,,https://annclearecomposer.com/to-another-of-that-other/ ,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,ore,2016,11,One high reed instrument (clarinet/ oboe/ saxophone) and string trio,https://annclearecomposer.com/ore/ ,,https://annclearecomposer.com/ore/ ,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,eöl,2014,15,"Percussion solo with clarinet, saxophone, accordion, cello and double bass",https://annclearecomposer.com/eol/ ,,https://annclearecomposer.com/eol/ ,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,"the physics of fog, swirling",2018,15,"Alto Flute, Clarinet, 2 Trumpets, Horn, Trombone, Tuba, Harp, Piano, 2 Percussion, Violin, Viola, Cello",https://annclearecomposer.com/the-physics-of-fog-swirling/,,https://annclearecomposer.com/the-physics-of-fog-swirling/,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,luna|lithe|lair,2013,18,"Bass Flute, Bass Clarinet, Cor Anglais, Saxophone, Percussion, Piano, Violin, Viola, Cello",https://annclearecomposer.com/lunalithelair/,,https://annclearecomposer.com/lunalithelair/,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,anchor me to the land,2014,20,"2 Bass Flutes, Bass Clarinet, Violin, 2 Cellos, Piano, Percussion, Guitar",https://annclearecomposer.com/anchor-me-to-the-land/,,https://annclearecomposer.com/anchor-me-to-the-land/,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,"To Exist, Press the Green Button",2009,,"Piccolo/Alto Flute, Clarinet, Bass Clarinet, Bass Trombone, Cello, Double Bass, Cymbal",,,,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,The Apophenia Transmissions ,2008,,Wind Quintet,,,,annclearecomposer.com,,
"Cleare, Ann",b.1983,Irish,Dorchadas,2007,11,"Bass Flute, Bass Clarinet, Bassoon, Trombone, Percussion, Piano, Viola, Cello, Double Bass",https://annclearecomposer.com/listenlook/dorchadas/,,https://annclearecomposer.com/listenlook/dorchadas/,annclearecomposer.com,,
"Clearfield, Andrea",b.1960,American,Into the Falcon's Eye,2002,11,"Clarinet, Horn, Piano",https://www.youtube.com/watch?v=WFJ7UURqgRs,Jomar Press,http://www.andreaclearfield.com/wp-content/uploads/2009/08/FALCONS-EYE%E2%80%94Full-Score-Excerpt.pdf,,,
"Coleman, Valerie",b.1970,American,Freedmen of the Five Civilized Tribes,2015,8,"Flute (Alto Flute optional), Clarinet, Violin, Cello, and Piano",,,https://www.vcolemanmusic.com/store/p71/Freedmen_of_the_Five_Civilized_Tribes_%28Print_Order_Only%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Lenox Ave,2007,,"Clarinet, violin, cello, piano",,,,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,NONET,2008,,"Woodwind quintet and string quintet (flute, oboe, clarinet, bassoon, french horn, 2 violins, viola, cello)",,,,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Rubispheres,2015,15,"wind trio (flute, clarinet, bassoon)",,,https://www.vcolemanmusic.com/store/p37/Rubispheres_%231-3_Trio_for_Flute%2C_Clarinet_and_Bassoon_%28digital_pdf_download%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Suite: Portraits of Langston,2007,22,"flute, clarinet in Bb, piano, optional narrator",,,https://www.vcolemanmusic.com/store/p33/Portraits_of_Langston_for_Flute%2C_Clarinet_in_Bflat_and_Piano_%28Digital_Download%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Sonatine,2005,8,Clarinet and piano,,Theodore Presser Company,,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Afro-Cuban Concerto,2001,15,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,"V Coleman Music Publishing, LLC",https://www.vcolemanmusic.com/store/p74/Afro-Cuban_Concerto_%28Print_Order_Only%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Red Clay & Mississippi Delta,2009,5,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,V Coleman Music,https://www.vcolemanmusic.com/store/p1/Red_Clay_%26_Mississippi_Delta_for_Wind_Quintet_%28Digital_Download%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Tzigane,2011,9,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,V Coleman Music  ,https://www.vcolemanmusic.com/store/p10/Tzigane_for_Wind_Quintet_%28Digital_Download%29.html,https://www.vcolemanmusic.com/,,
"Coleman, Valerie",b.1970,American,Umoja,2001,2.5,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,V Coleman Music,https://www.vcolemanmusic.com/store/p53/Umoja_for_Wind_Quintet_%28PRINT_Order_Only%29.html,https://www.vcolemanmusic.com/,,
"Coulthard, Jean",1908-2000,Canadian,Divertimento,1968,17,"Wind Quintet, Piano",,Canadian Music Centre,https://musiccentre.ca/node/363,,,
"Crawford Seeger, Ruth",1901-1953,American,Diaphonic Suite No 3,1930,4,2 Clarinets,Naxos,Plymouth Music Co. Inc.,,,,
"Crawford Seeger, Ruth",1901-1953,American,Suite No 1,1952,10,"Flute, Oboe, Clarinet, Bassoon, Horn",Naxos,Master Music,,,,
"Czernowin, Chaya",b.1957,Israeli American,Duo Leat (Slow Duo),2009,,Two Bass Clarinets,https://www.youtube.com/watch?v=yWoR2Yd1ejY,,https://en.schott-music.com/shop/duo-leat-no272761.html,,,
